iter	Logloss
0	0.6828425103
1	0.6740564573
2	0.6649926759
3	0.6553285475
4	0.6470869143
5	0.638075832
6	0.6303686736
7	0.6221835401
8	0.6142648925
9	0.6055733641
10	0.596984523
11	0.5882410549
12	0.5798828435
13	0.5726809351
14	0.5636731067
15	0.554579982
16	0.546377983
17	0.5401164314
18	0.5310464243
19	0.5245975753
20	0.5194430753
21	0.5121922327
22	0.5043096023
23	0.4967283607
24	0.4901531579
25	0.4841831422
26	0.4769127181
27	0.4708147772
28	0.464952521
29	0.4594563748
30	0.4521770636
31	0.4453362808
32	0.440413781
33	0.4348363732
34	0.4292366931
35	0.423133543
36	0.4178201746
37	0.4119188539
38	0.4059223924
39	0.4009778347
40	0.3958413844
41	0.3898146687
42	0.3854576622
43	0.3805252693
44	0.3747782173
45	0.3700831737
46	0.3645828625
47	0.3593976224
48	0.3553950714
49	0.3505648655
50	0.3456833979
51	0.3421336564
52	0.3376718272
53	0.3335547889
54	0.3294356349
55	0.3259029405
56	0.3216254389
57	0.3178100769
58	0.3134626794
59	0.3098818359
60	0.3059773555
61	0.3020694159
62	0.298046729
63	0.2941037995
64	0.290116746
65	0.2863555098
66	0.2836865763
67	0.2803459269
68	0.2770631868
69	0.2736369182
70	0.2707617089
71	0.2677193435
72	0.2641487054
73	0.2608157156
74	0.2581062927
75	0.2554338968
76	0.2527185014
77	0.2503886723
78	0.2473840441
79	0.2445914079
80	0.2425049309
81	0.2399347217
82	0.2369676976
83	0.2348945519
84	0.2321643948
85	0.2300187991
86	0.2277395067
87	0.2249583114
88	0.2228906285
89	0.2211324358
90	0.2186380532
91	0.2166628703
92	0.2140711202
93	0.2120150539
94	0.2100100659
95	0.2082706264
96	0.2059810984
97	0.2040380288
98	0.2021898875
99	0.200167138
100	0.1982433479
101	0.196581478
102	0.1948124242
103	0.1928677527
104	0.1911842939
105	0.1894080348
106	0.1877059299
107	0.1862374489
108	0.1844983998
109	0.1829529596
110	0.1813681638
111	0.1793958645
112	0.1776186624
113	0.1760219525
114	0.1739569145
115	0.1723875651
116	0.1710535581
117	0.1698142168
118	0.1685867839
119	0.1671401153
120	0.1657281266
121	0.1647364192
122	0.1632680496
123	0.1622438475
124	0.1610429219
125	0.1597626197
126	0.1584867245
127	0.1571878551
128	0.1557458633
129	0.1547227376
130	0.1536795561
131	0.1517521578
132	0.150622536
133	0.1492841917
134	0.1481821569
135	0.1467932125
136	0.1455801867
137	0.1447497602
138	0.1435742222
139	0.1424472429
140	0.1411581219
141	0.1400943402
142	0.1391766569
143	0.1379279468
144	0.1367773375
145	0.136010962
146	0.1350561775
147	0.1342313131
148	0.1332304239
149	0.1325090301
150	0.1314917322
151	0.1306567825
152	0.1297078704
153	0.1287690703
154	0.1276963854
155	0.1266445837
156	0.1253843877
157	0.124516891
158	0.1234411073
159	0.1224989248
160	0.1216053811
161	0.1208190732
162	0.1201031476
163	0.1193246139
164	0.1184895872
165	0.1174959797
166	0.1167648218
167	0.1159272354
168	0.1151988447
169	0.1146103458
170	0.1136905278
171	0.1128876716
172	0.1119456262
173	0.1111983823
174	0.1105566451
175	0.1096511778
176	0.1089580536
177	0.1082754017
1094713878
179	0.10852912
180	0.107982614
181	0.1072503866
182	0.1064378371
9553
183	0.114468066
184	0.1138127542
1140233141
0.09631463991
186	0.09559253936
