iter	Logloss
0	0.6789046952
1	0.6647882908
2	0.6520741648
3	0.6389862607
4	0.6246378003
5	0.6110142218
6	0.5991998013
7	0.5883638512
8	0.5757733256
9	0.566121417
10	0.5571579852
11	0.5484167431
12	0.5383250585
13	0.5253953957
14	0.5153288087
15	0.5037726225
16	0.4950151373
17	0.4874671899
18	0.4781606006
19	0.4687636679
20	0.4610292446
21	0.4513439039
22	0.4425538151
23	0.4362516195
24	0.4284715929
25	0.4200010009
26	0.4122162067
27	0.4040886816
28	0.3982828402
29	0.3922069661
30	0.3859466671
31	0.3792123289
32	0.3732706294
33	0.3684181282
34	0.3628865902
35	0.3575720914
36	0.3513037431
37	0.3468385581
38	0.3418811103
39	0.3359900652
40	0.3312450074
41	0.3263647722
42	0.3214593582
43	0.3163322109
44	0.3123335397
45	0.3076627801
46	0.3027154782
47	0.2982851739
48	0.293688649
49	0.289758417
50	0.2862048908
51	0.28181438
52	0.2785597465
53	0.2750431638
54	0.2715943763
55	0.2682130456
56	0.263863281
57	0.2603378299
58	0.2575111629
59	0.253935994
60	0.2505857415
61	0.2467709943
62	0.2437821507
63	0.2404787642
64	0.2367700529
65	0.2339672726
66	0.2309681736
67	0.2278763439
68	0.2251481537
69	0.2220418942
70	0.2188760081
71	0.215954883
72	0.2139998483
73	0.2113699839
74	0.2087824157
75	0.2068441187
76	0.2041586091
77	0.2018083789
78	0.1994322555
79	0.1972020527
80	0.1952981349
81	0.193261557
82	0.1913294501
83	0.1892141858
84	0.1866403644
85	0.18519858
86	0.1829888732
87	0.1812055883
88	0.1795763211
89	0.1778440945
90	0.1756249103
91	0.1738002127
92	0.1719539932
93	0.1700770696
94	0.1687003033
95	0.166959046
96	0.1654849398
97	0.1637446335
98	0.1623052384
99	0.1608093681
100	0.159053401
101	0.1575751342
102	0.1565476989
103	0.1548747547
104	0.1535791965
105	0.1524402644
106	0.1510013905
107	0.1495041067
108	0.1481638786
109	0.1467989633
110	0.1451612839
111	0.1440363019
112	0.1426605023
